AKFKQQVJ	400934741	37	234
HGLJGAHI	400220783	34	280
VHZUXQCJ	400383330	32	290
VFRAZCTT	400923046	34	237
SUJMYHZO	400870673	32	345
VWTUCDBT	400350883	40	290
OOBXCAMZ	400251238	30	354
CVXJLDHS	400744500	30	141
DNNBEBPU	400796325	33	287
GCBZPJGA	400971871	31	175
MFRUQXAE	400394868	33	291
SPCSZTYJ	400237600	31	285
CVWJBWPP	400061766	36	373
QBGYRALX	400850728	36	367
FDDDPULY	400944437	34	265
JSSQABOW	400142573	33	250
HCCAWMGY	400196277	36	282
GESBJKWH	400474269	38	226
NAEIFSQP	400975142	36	265
RBWKDBLD	400521158	34	196
GFVWUGEZ	400175450	35	321
ZHXSNYRC	400021487	39	166
QIJIQXXS	400534518	33	296
SEWJVFSJ	400939525	34	142
FCFAVENA	400811911	33	141
GBSXXAAW	400316265	34	307
DIWVFHID	400143630	37	260
WMASQNBC	400190449	31	157
JGBPLAYS	400214492	40	370
PMJAHOBW	400864582	30	310
ZOTSZVQB	400312430	36	400
IDIHWXTD	400805908	36	415
QKKMGPQE	400638764	39	215
HDSJYLYB	400448973	36	400
AFXUBXIA	400469255	34	365
KZFAOPDH	400175296	39	159
NERMZWCH	400589497	38	225
QDBRWSIY	400028668	30	341
LGJXARYI	400870590	38	301
IWTTQEDR	400271163	31	284
FSONWXMX	400455332	33	247
VUXRDSPN	400039226	33	195
XOWXYDAR	400280765	40	312
OCDZVPTS	400336544	36	300
QLBTOWDB	400134328	33	205
AYVZYRAN	400103312	35	218
LFXENBQY	400206372	36	304
MZPJCDKS	400528733	30	340
WEYVHQWL	400089920	39	439
JXCDEVBZ	400702541	36	318
SRGTTBGQ	400453470	36	288
WOFMWJTY	400512056	40	421
ZMFCYKKI	400314621	37	221
TQOFIEIP	400594621	36	337
OOZHLWTV	400253365	36	166
CQTFWSMN	400576151	37	425
YLOKXDDR	400725250	34	145
RPOCJXIC	400316064	30	280
NWYBZDMW	400992042	35	149
GERSJUDD	400122815	38	176
KAXKQANU	400469713	40	333
XUAJADXP	400031921	37	262
XGIXKGSD	400303032	34	159
EQGKGMEW	400437685	38	228
IHIVJKMJ	400572992	37	285
ONTKEBAW	400628313	30	318
DVGGGPVL	400938248	31	144
FYOGZCJP	400782424	39	441
KDBVOUDQ	400116309	33	395
JLIPFLQV	400198033	37	334
CPQNGDMQ	400899220	40	329
YTTOLMAG	400127245	39	188
QQKXIRIN	400765656	33	204
WFYPAITU	400721346	35	318
PSIYBPKC	400284740	34	303
UOJGQKEN	400806468	38	221
PWTGKOBY	400785506	32	140
SYELABBH	400958488	30	323
OLRKKRRZ	400489146	37	262
WDMADORY	400424748	31	201
TQQQJRGQ	400396419	38	182
MTFPGKDO	400932809	34	374
WRCKLGUQ	400152139	34	286
NVIYZRMR	400052846	39	236
WFICFXVK	400220229	40	475
BWQPQHXS	400778002	33	297
AIAJRAIZ	400185494	36	332
UVDVWXQR	400282125	32	152
TLHMQXUO	400689326	39	183
RDHFYSAL	400465858	30	335
XOHJHSHE	400939368	33	393
UTVCFACW	400241700	32	235
FSIYZWIV	400821733	32	300
WAEHNJJH	400952117	34	317
JKXDWGAX	400974122	38	399
AOYPGMHU	400599805	33	272
PBDPARKN	400186633	38	298
FMUBSPBB	400353607	38	279
LQAVOGIV	400317483	34	142
VPSLSFZM	400914395	35	168
RHKCVJFL	400912397	35	419
ICEEKJRG	400162548	40	287
HDRZGTFL	400284191	33	388
ONJHJODE	400852338	35	301
NLCZYLQZ	400216371	33	139
VZNNTUBV	400076915	32	200
NZEPSRHA	400819425	38	375
ALYUFGNR	400696282	33	364
QIRLKGBX	400495958	30	344
CJXGHBQN	400377504	36	262
KGWMYJWR	400531019	35	185
PLSNMHOB	400398222	33	315
ARSUSMUA	400626955	35	268
FLDTYVCC	400616427	39	208
AJTVTNAP	400480811	30	145
COAMUBTV	400762983	32	197
TCBXXLTW	400457975	31	276
ENXFWELX	400261319	37	185
VCBYBGMN	400871508	40	433
SPADBWDP	400671195	35	352
FHWFTHFP	400809131	35	239
QRMYDQOA	400133134	35	282
FGWEXLWE	400219095	38	406
LITHQHHK	400399638	39	462
PDZTIBAT	400516169	30	330
MCJHSZEU	400812194	39	213
SDLRCMSX	400863293	36	264
BUMJMUFE	400542762	31	370
ULNIHRQE	400373926	31	156
JQADUWPB	400957448	37	211
BTGJGVDC	400623705	39	350
GHUXIDYV	400017179	37	169
LTOIFSIF	400368207	33	261
SJLRLREH	400657503	33	158
PFRLQXJY	400710686	36	371
ALQFDRMM	400114152	38	344
ZEOQNEOC	400924110	37	387
MPLTTRPJ	400310218	38	250
CEAJHGWS	400000196	36	298
NLZBCYXG	400843103	32	322
JIEFFZJU	400866987	36	395
UJYSENZI	400236508	37	253
JUVSYJZM	400012391	32	230
DSWACTOX	400570685	39	314
FEWWXEQL	400078207	33	153
LPJIGISM	400999599	40	278
NGOLWJHU	400628539	34	387
GEPISKBD	400645991	32	217
RJRJWZWG	400237148	30	274
CWVTMABE	400481171	38	406
VOHVZVWK	400035600	40	221
XREQAJLL	400164406	30	174
EACXZXIP	400228934	40	456
CDBSYWEV	400471649	40	168
KICUUQEG	400840562	31	283
SOZUAXEX	400747896	35	273
DZPVCDHU	400057685	35	304
GCNSXOYS	400885987	35	397
YSXGCECU	400985452	38	227
CBHEPHZC	400145981	34	210
BGUHTZYY	400513831	34	384
AVBBEHWZ	400291836	32	316
RTMABUWF	400992503	38	320
XAUQXNUW	400287530	36	209
IBXSNMIA	400843277	37	229
KAZQUMFR	400180992	33	220
OFQUNFBG	400003667	39	436
AOOGERRZ	400477235	32	168
BAYEBQCW	400658409	35	151
UCTBBMYZ	400798912	36	179
ZMCMGTMA	400331686	32	255
AUPZWNGK	400142750	38	264
YVANOHTR	400091177	36	334
MVQPDSRO	400986104	36	284
OXYWWUVR	400279082	40	299
MJSTCJEG	400161776	40	179
GCBRUZHF	400895069	33	336
WNIMBPGD	400659057	35	170
JHGFWOWG	400851941	34	293
RCUMOTUK	400880166	32	287
JEWZPXEV	400080735	33	285
SUTBIGPI	400539351	39	158
TXRNGQJB	400061869	32	208
FREYVHCP	400211584	38	303
EFHDWBEF	400918030	33	392
KQVJYEGE	400878174	32	353
BVOWOGFA	400309849	37	228
NMYFGLQN	400660442	36	335
VPOEDHYW	400316796	32	243
VVYSYXLR	400017619	36	348
EEEWQDMH	400401344	33	133
HBGVPSCL	400436218	37	306
ERCOAOUB	400010670	32	352
PUXMJGJK	400734486	32	181
HPEVWIXU	400390942	34	162
HVTWWNNB	400412519	40	324
RTWFJSVI	400995159	30	329
HLZSZBXK	400685118	37	201
SPKIUVRR	400484428	31	127
QTGAOCNO	400861780	31	363
MCESKNAA	400803923	34	373
FOUBKFUH	400765509	30	145
KBEAPXNQ	400910640	37	346
YXTLGCZI	400837010	40	445
TULNCJOE	400593270	30	173
HDNIVUXF	400379833	38	207
VFYWKRVC	400239943	30	286
BQEHEOKQ	400550272	36	383
RKIYAPGL	400818100	30	242
BQRKJEAB	400630831	40	242
APYGIWOP	400024804	40	464
ZVJQPJMI	400834642	32	323
XNMGFUTT	400420029	38	283
YKMMFQAN	400307229	36	384
BXKEAMMS	400778387	35	277
VCZXDCLZ	400707749	30	239
CNBAHEZI	400420553	36	425
LCYVZSEF	400755914	39	301
GWCTWRTD	400726840	33	271
POZCTNTO	400045368	35	291
VGXOJQXC	400192827	31	338
HHNUAQRY	400624485	38	392
KEORENYN	400210071	31	287
SJEPMQGB	400701220	35	367
UFYRMMUT	400276174	38	177
OBPSPREB	400963557	39	163
RJZKIKDB	400192878	30	172
QEJNDVAE	400733763	37	315
BEBMCABP	400206539	34	351
XKSWCDZO	400609765	39	196
ZATZXGIO	400991156	38	352
PPRDDWFM	400011285	32	185
PMZCMFVE	400644815	32	137
CCEWBOJL	400266880	30	289
CWYTKPIM	400148216	39	396
UZIJDRZR	400807817	40	425
OYGZRIGC	400135967	34	351
IBQNXHLZ	400712931	35	355
LCIOASJD	400081470	39	398
LUTSRRCG	400606777	36	404
NVHTVYGA	400768117	38	166
AWCHQGGG	400218939	34	179
PHDEUTIV	400515845	30	225
JEKKNEJT	400663120	30	288
TFXAPHYG	400137279	40	432
ATMAVODG	400891995	36	403
YTSHTNTH	400798156	33	232
KPDPZMUU	400332168	35	206
TPIMACGM	400409050	38	388
BXUVNYPQ	400578768	37	288
VBGVDSJO	400868636	33	368
UMCURFYN	400367895	40	231
DVYASFCP	400777923	31	299
HXEAXXBM	400157462	37	334
ISYMFJWI	400813142	37	294
PHTSZMFO	400371404	36	321
BVKVLYHG	400974617	32	273
OYMMMOCQ	400919093	35	333
XFKXQORT	400235101	37	420
ALSGLAVJ	400730762	40	205
OCULXIOJ	400914884	32	300
ZIGIQFGZ	400859836	40	389
NMLITFCN	400337468	37	244
IWHAANQF	400884213	33	338
BWNNYXVA	400620645	33	283
NGXBREWG	400418975	32	166
EPAGQOZZ	400227868	30	125
MNCSZIRW	400878915	39	232
LMVVDXCK	400525374	31	352
CGYEZGKB	400941998	40	288
TWDXNFLY	400422566	34	303
VHRQPAWM	400499585	32	179
XTZTJHHG	400347764	36	380
QAHSCGKX	400144136	33	381
KPQESIPV	400044072	30	331
FYURRXJI	400385423	39	273
UXZCOQJI	400212099	31	177
EXVIMMFL	400477483	37	334
BUECOQIH	400607446	32	295
LLDYNCSY	400473163	39	294
HMSVDZQA	400340253	30	258
APVTMWXR	400258116	36	236
IOWVBWBX	400898348	32	136
MUJTWZDQ	400466712	30	305
JGQGYTPJ	400523751	37	400
AXXGAELW	400927002	35	270
QNHOPFSK	400661972	39	189
QAJZMIIP	400995119	32	354
ZSUTYQPK	400320722	38	431
CIHHRQTF	400096129	38	267
GVRMQRWQ	400274569	40	204
ORWLQEXU	400234676	34	154
LXOQEDPC	400241484	35	357
PGTMLXKD	400367851	37	443
DMDJJSOV	400460040	35	255
TIUWGJZO	400168512	35	356
GVOUSJQV	400317767	40	428
HDDWFBAJ	400311055	40	309
RBWMAJJH	400546069	33	314
EFGFJOAD	400911570	35	347
HBZRATZE	400026571	38	164
PENPWTXA	400266344	34	158
TQNKYHLV	400790616	40	169
MIOZJOMH	400546233	40	232
SZXUQVGJ	400165972	32	301
MDXCDSWS	400584765	32	346
BHADSCWY	400277555	37	221
IGVIADZB	400524450	35	357
SFRSXHWT	400408415	36	322
FSAEZSEE	400371350	35	400
YXWALGLV	400596911	38	343
LYRMMLHR	400604341	34	378
YZAUDMOW	400420840	38	268
GJRYAJUV	400028170	32	191
KBXIYUUS	400896373	31	348
ZLDNKGLA	400304907	39	281
IGJWXYJG	400342769	35	257
XJZEWWBE	400707355	30	184
YQVVFYFE	400993465	39	356
HUVJMTXR	400291945	40	240
CMETXUDM	400614994	31	190
YOPGHMPH	400526004	30	144
TNUIIVYM	400899947	39	209
NOCSFGEQ	400006514	30	262
JOQQAOSX	400445752	30	326
SGVGUMKQ	400030897	40	309
DCTNORPZ	400733853	39	241
WMBDNVMC	400871179	34	207
QPEOQUUL	400623909	32	352
MXVUNCIC	400185042	32	187
WQXNTPST	400437856	35	262
IVPOGOLL	400461975	40	223
JFOPSZTY	400670974	38	298
USUTSOSO	400200336	40	295
DEXKTKPF	400650086	36	280
MSEDDNQR	400413298	32	217
HUFYLGEP	400029497	32	363
APQJVZYG	400491129	34	253
XILVBHUV	400910181	31	253
NOGDEMEA	400572829	39	289
MQRWSVSS	400761583	31	160
CGYHWULK	400472575	33	275
BBGKZCWU	400324955	30	293
WUMTOJSG	400583454	33	302
UEHFCAXV	400675127	39	227
XJZVIJJN	400540291	34	250
FELRQULF	400273459	36	416
ICVYQOMX	400844977	32	323
SYXNZAIE	400425844	32	276
SQZJVWDU	400995124	39	255
OGHXXTRJ	400834116	35	311
CFEPLMIF	400698942	31	276
YLPRDANB	400086192	39	176
IUFSKMMR	400141006	38	267
